81        BOSTON SCIENTIFIC                       327   NATICK              MA   1760      27000     
82        BRISTOL-MYERS SQUIBB                    147   NEW YORK            NY   10154     25000     
83        BUILDERS FIRSTSOURCE                    421   DALLAS              TX   75201     14000     
84        BURLINGTON STORES                       463   BURLINGTON          NJ   8016      40000     
85        C.H. ROBINSON WORLDWIDE                 212   EDEN PRAIRIE        MN   55347     14125     
86        CALATLANTIC GROUP                       415   ARLINGTON           VA   22209     3055      
87        CALPINE                                 400   HOUSTON             TX   77002     2372      
88        CAMPBELL SOUP                           339   CAMDEN              NJ   8103      16500     
89        CAPITAL ONE FINANCIAL                   100   MCLEAN              VA   22102     47300     
90        CARDINAL HEALTH                         15    DUBLIN              OH   43017     37300     
91        CARMAX                                  174   RICHMOND            VA   23238     22429     
92        CASEY'S GENERAL STORES                  423   ANKENY              IA   50021     24724     
93        CATERPILLAR                             74    PEORIA              IL   61629     95400     
94        CBRE GROUP                              214   LOS ANGELES         CA   90071     75000     
95        CBS                                     193   NEW YORK            NY   10019     18410     
96        CDW                                     199   VERNON HILLS        IL   60061     8516      
97        CELANESE                                484   IRVING              TX   75039     7293      
98        CELGENE                                 254   SUMMIT              NJ   7901      7132      
99        CENTENE                                 66    SAINT LOUIS         MO   63105     30500     
100       CENTERPOINT ENERGY                      362   HOUSTON             TX   77002     7727      
101       CENTURYLINK                             160   MONROE              LA   71203     40000     
102       CH2M HILL                               494   ENGLEWOOD           CO   80112     20000     
103       CHARLES SCHWAB                          357   SAN FRANCISCO       CA   94105     16200     
104       CHARTER COMMUNICATIONS                  96    STAMFORD            CT   6901      91500     
105       CHEMOURS                                482   WILMINGTON          DE   19899     7000      
106       CHESAPEAKE ENERGY                       343   OKLAHOMA CITY       OK   73118     3300      
107       CHEVRON                                 19    SAN RAMON           CA   94583     55200     
108       CHS                                     93    INVER GROVE HEIGHT  MN   55077     12157     
109       CIGNA                                   70    BLOOMFIELD          CT   6002      41000     
110       CINCINNATI FINANCIAL                    476   FAIRFIELD           OH   45014     4754      
111       CISCO SYSTEMS                           60    SAN JOSE            CA   95134     73700     
112       CITIGROUP                               30    NEW YORK            NY   10022     219000    
113       CITIZENS FINANCIAL GROUP                451   PROVIDENCE          RI   2903      17600     
114       CLOROX                                  453   OAKLAND             CA   94612     8000      
115       CMS ENERGY                              419   JACKSON             MI   49201     7750      
116       COCA-COLA                               64    ATLANTA             GA   30313     100300    
117       COGNIZANT TECHNOLOGY SOLUTIONS          205   TEANECK             NJ   7666      260200    
118       COLGATE-PALMOLIVE                       182   NEW YORK            NY   10022     36700     
119       COMCAST                                 31    PHILADELPHIA        PA   19103     159000    
120       COMMUNITY HEALTH SYSTEMS                130   FRANKLIN            TN   37067     108000    
121       COMPUTER SCIENCES CORPORATION           379   MCLEAN              VA   22102     59000     
122       CONAGRA FOODS                           197   OMAHA               NE   68102     20900     
123       CONOCOPHILLIPS                          115   HOUSTON             TX   77079     13300     
124       CONSOLIDATED EDISON                     234   NEW YORK            NY   10003     14960     
125       CONSTELLATION BRANDS                    408   FAIRPORT            NY   14450     9000      
126       CORE-MARK HOLDING                       247   SOUTH SAN FRANCISCO CA   94080     7688      
